/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo-L0s0cPgJig-scene40_scene1.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo-ZWWtODykTk-scene1_scene4.mp4 | Detected FPS: 24.0 | Frames: 119.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo0KlC6TDmEZQ-scene9_scene1.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo0KlC6TDmEZQ-scene26_scene1.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo0KlC6TDmEZQ-scene16_scene1.mp4 | Detected FPS: 24.0 | Frames: 117.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo0KlC6TDmEZQ-scene32_scene1.mp4 | Detected FPS: 24.0 | Frames: 116.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo0KlC6TDmEZQ-scene33_scene1.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo0Y1XyiDuO2Y-scene62_scene1.mp4 | Detected FPS: 24.0 | Frames: 119.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo1161_kYCLkEFF9WU-scene29_scene10.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo1161_kYCLkEFF9WU-scene85_scene15.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo1161_kYCLkEFF9WU-scene57_scene11.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo1185_JMVsYBFMqMU-scene191_scene1.mp4 | Detected FPS: 24.0 | Frames: 116.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo1509_6RnEiH75rdU-scene11_scene9.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo1577_LOLzw_ZkoIc-scene92_scene1.mp4 | Detected FPS: 24.0 | Frames: 119.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo1577_LOLzw_ZkoIc-scene148_scene1.mp4 | Detected FPS: 24.0 | Frames: 117.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo1T-ywnZKXWY-scene119_scene3.mp4 | Detected FPS: 24.0 | Frames: 119.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo1j-CGxlGREo-scene17_scene30.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo2086_q7uWz3g0TLc-scene36_scene1.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo2086_q7uWz3g0TLc-scene32_scene1.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo2507_cXUEj2y6VQM-scene39_scene1.mp4 | Detected FPS: 24.0 | Frames: 119.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo2SC6hoJrOXk-scene10_scene1.mp4 | Detected FPS: 24.0 | Frames: 116.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo2SC6hoJrOXk-scene12_scene1.mp4 | Detected FPS: 24.0 | Frames: 117.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo2SC6hoJrOXk-scene18_scene1.mp4 | Detected FPS: 24.0 | Frames: 116.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo2fPUOYUCbrA-scene5_scene3.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo3025_w1cVwVP6IZk-scene86_scene1.mp4 | Detected FPS: 24.0 | Frames: 115.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo318_pef0XiULodg-scene37_scene1.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo3248_fEkHqmtG36I-scene112_scene1.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo3735_wpoy5O8DXFs-scene20_scene8.mp4 | Detected FPS: 24.0 | Frames: 119.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo3752_lp0XFiOXzd8-scene50_scene8.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo3903_ivRduG7GZ-w-scene2_scene8.mp4 | Detected FPS: 24.0 | Frames: 118.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo3938_IQnSkNTixtY-scene35_scene11.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo3960_cbQKMweRsok-scene15_scene1.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo4041_281zFEY_N2A-scene95_scene1.mp4 | Detected FPS: 24.0 | Frames: 118.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo4073_yu_h4elpZLI-scene4_scene1.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo4157_6xRPYDWihto-scene5_scene1.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo4186_yMs6En2Ujzk-scene45_scene1.mp4 | Detected FPS: 24.0 | Frames: 113.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo4240_mVl2JF3NKHo-scene14_scene1.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo4240_mVl2JF3NKHo-scene92_scene1.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo4319_omhlGZdXQoM-scene4_scene1.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo4326_sx9d8QrJFWw-scene12_scene2.mp4 | Detected FPS: 24.0 | Frames: 118.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo4364_jChyInjSMhg-scene42_scene1.mp4 | Detected FPS: 24.0 | Frames: 119.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo4364_jChyInjSMhg-scene17_scene2.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo4371_2g6eEm0BWjM-scene129_scene7.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo4413_1YOQLUnlFCE-scene1_scene1.mp4 | Detected FPS: 24.0 | Frames: 119.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo4415_oVRi2qlSaKk-scene4_scene1.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo4417_FEeEmtfeb9k-scene22_scene1.mp4 | Detected FPS: 24.0 | Frames: 119.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo441_xZz1ZO9de_Q-scene171_scene1.mp4 | Detected FPS: 24.0 | Frames: 119.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo4572_cjKtKh09seA-scene24_scene6.mp4 | Detected FPS: 24.0 | Frames: 118.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo4649_d8F9aArUuZI-scene39_scene7.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo4649_d8F9aArUuZI-scene39_scene6.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo4649_d8F9aArUuZI-scene57_scene8.mp4 | Detected FPS: 24.0 | Frames: 119.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo4690__VtMj6ggkWg-scene4_scene3.mp4 | Detected FPS: 24.0 | Frames: 117.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo4801_M8kPgUiVQOs-scene52_scene1.mp4 | Detected FPS: 24.0 | Frames: 117.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo4885_-9Hi74uX18s-scene18_scene8.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo4885_-9Hi74uX18s-scene18_scene9.mp4 | Detected FPS: 24.0 | Frames: 119.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo4923_XZHZ_Ltbv08-scene315_scene1.mp4 | Detected FPS: 24.0 | Frames: 118.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo4982_n3fA1vKjcto-scene6_scene1.mp4 | Detected FPS: 24.0 | Frames: 119.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo4997_8z3OkxRATac-scene36_scene1.mp4 | Detected FPS: 24.0 | Frames: 119.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo4OFcto-ioi4-scene14_scene1.mp4 | Detected FPS: 24.0 | Frames: 119.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo5300_MjPQQEPtCJ8-scene14_scene8.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo534aXqRMlm8-scene1020_scene2.mp4 | Detected FPS: 24.0 | Frames: 99.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo534aXqRMlm8-scene1020_scene1.mp4 | Detected FPS: 24.0 | Frames: 99.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo5606_6IcgBS8K3-s-scene194_scene1.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo5_tVxfsIQUU-scene1_scene7.mp4 | Detected FPS: 24.0 | Frames: 117.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo739_aPrURuuNncA-scene5_scene21.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo7k6FPaxAK-g-scene194_scene1.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo8288_UVTCaWEbLNI-scene42_scene1.mp4 | Detected FPS: 24.0 | Frames: 106.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo8288_UVTCaWEbLNI-scene42_scene2.mp4 | Detected FPS: 24.0 | Frames: 107.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo829_tE50O0o2vGI-scene11_scene1.mp4 | Detected FPS: 24.0 | Frames: 119.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo829_tE50O0o2vGI-scene5_scene1.mp4 | Detected FPS: 24.0 | Frames: 119.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo829_tE50O0o2vGI-scene13_scene1.mp4 | Detected FPS: 24.0 | Frames: 119.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo829_tE50O0o2vGI-scene9_scene1.mp4 | Detected FPS: 24.0 | Frames: 119.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo8337_nGxwNRFLLpM-scene9_scene1.mp4 | Detected FPS: 24.0 | Frames: 117.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo8441_dXnJRv4kkfk-scene47_scene1.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo8430_Gdz2Z_ETxPs-scene310_scene2.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo8506_qv4FZXchqlY-scene8_scene1.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo92vV1YfZ-YE-scene21_scene1.mp4 | Detected FPS: 24.0 | Frames: 117.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo988_Rx-xZfFjVDQ-scene18_scene12.mp4 | Detected FPS: 24.0 | Frames: 119.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideo9C5FBjOZU74-scene33_scene3.mp4 | Detected FPS: 24.0 | Frames: 120.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideoA9Zu3mTKhJg-scene25_scene1.mp4 | Detected FPS: 24.0 | Frames: 118.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideoBCH104c5GN0-scene42_scene1.mp4 | Detected FPS: 24.0 | Frames: 117.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideoCfRydzS9Jjo-scene4_scene3.mp4 | Detected FPS: 24.0 | Frames: 115.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideoCfRydzS9Jjo-scene4_scene5.mp4 | Detected FPS: 24.0 | Frames: 116.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideoEFiHm6WjhNA-scene121_scene2.mp4 | Detected FPS: 24.0 | Frames: 117.0 | Reason: Mismatch
/shareddisk/yexin/huanghj/data/TalkVid-160h/videos-crop/videovideoFPKthdjDWzk-scene21_scene8.mp4 | Detected FPS: 24.0 | Frames: 119.0 | Reason: Mismatch
